text,level
"우리나라의 쌀 소비량이 급격히 줄고 있다. 2008년에 한 사람이 먹은 쌀의 양은 평균 75.8 킬로그램으로 10년 전과 비교해 보면 23.4 킬로그램이나 줄었다. 그것은 먹을거리의 종류가 다양해지면서 쌀로 만든 음식 대신 다른 곡물로 만든 음식을 많이 먹기 때문이다.
이렇게 쌀 소비량이 계속 줄어들면 문제가 발생한다. 쌀을 소비하지 않으면 농가에서 벼농사를 짓지 않게 된다. 그러면 쌀이 부족하게 되어 다른 나라에서 수입해야 한다. 그러므로 우리는 쌀 소비량을 늘려야 한다.
쌀 소비량을 늘리기 위해서는 어떻게 해야 할까? 첫째, 우리 쌀이 건강에 좋은 점을 널리 알린다.
둘째, 가정이나 학교 식당에서 우리 쌀 위주의 식단을 짠다. 셋째, 우리 쌀로 새로운 음식을 개발한다.
넷째, 우리 쌀의 품질을 좀 더 높여야 한다.
다섯째, 우리 쌀을 외국에 수출할 수 있는 방법을 찾아야 한다.",0
"옛날 아이들은 윷놀이, 자치기, 팽이치기와 같은 전래 놀이를 하면서 친구들과 즐겁게 놀았다. 요즘 아이들은 주로 인터넷 게임을 하거나 텔레비전을 시청하며 여가를 보낸다. 전래 놀이는 여럿이 함께하는 놀이가 많아 친구를 사귈 기회를 더 많이 갖게 하고 건강한 몸을 유지하는 데 도움을 준다. 전래 놀이를 하면 다음과 같은 좋은 점이 있다.
첫째, 자연을 가까이 느낄 수 있다. 대부분의 전래 놀이는 바깥에서 한다. 그래서 풀, 바람, 나무, 흙, 돌, 햇빛 등 자연을 가까이 느낄 수 있다. 둘째, 공동체 의식을 기를 수 있다. 또래 아이들과 함께 윷놀이나 비사치기를 하면서 의논하고 힘을 모으기도 한다. 이러한 과정을 거치면서 아이들은 서로 돕고 위하는 태도를 배우게 된다. 셋째, 체력이 향상될 수 있다. 전래 놀이는 뛰거나 빠른 걸음으로 걷는 등 움직임이 많아서 따로 운동을 하지 않아도 운동 효과를 볼 수 있기 때문이다. 넷째, 놀이를 통해 지식을 얻을 수 있다. 자치기에 필요한 막대기를 고르면서 나무의 특성을 자연스럽게 알고, 연날리기를 하면서 바람을 이용하는 방법을 터득하게 된다. 다섯째, 조상들의 지혜를 알 수 있다. 우리 조상들은 언제 어디서나 누구든지 즐길 수 있는 다양한 놀이 방법을 만들어 냈다. 아이들은 전래 놀이를 하면서 지혜를 터득하게 된다. 이와 같이 전래 놀이를 하면 좋은 점이 많다. 우리 모두 전래 놀이에 관심을 가지고 즐겨 하자.",0
"태양광선은 가시광선, 적외선, 자외선 등 여러 가지 빛으로 이루어져 있다. 이 빛들은 각각 다른 특징을 가지고 있다.
가시광선은 우리가 눈으로 사물을 볼 수 있게 하는 빛이다. 가시광선의 일곱 빛깔은 우리가 사물의 색을 구별할 수 있게 해 준다. 또, 가시광선은 식물이 영양분을 만드는 광합성 작용을 돕는다. 가시광선이 인간과 식물에게 도움이 된다는 것이 흥미롭다.
적외선은 가시광선의 빨간빛 바깥쪽에 있는 빛이다. 적외선은 혈액 순환을 돕고 통증을 감소시키는 효과가 있기 때문에 병원에서 치료기에 이용된다. 이 밖에도 적외선은 야간 투시 촬영, 텔레비전 리모컨, 자동 경보기 등에 사용된다. 적외선이 우리 생활에 이용되는 사례를 더 조사해 보면 흥미로울 것 같다. 자외선은 가시광선의 보랏빛 바깥쪽에 있는 빛이다. 자외선은 살균 효과가 있다. 자외선의 이러한 성질을 이용하여 여러 가지 기구를 만든다. 자외선 살균 소독기는 병원의 의료 기구나 식당의 그릇을 소독하는 데 이용된다. 그런데 자외선에 지나치게 노출되면 화상을 입거나 피부염이 생긴다. 그래서 자외선이 강한 여름에는 자외선 차단제나 양산을 사용하는 것이 좋다.",0
"영희는 마을에서 인기가 많다. 사람들의 말을 잘 들어 주기 때문이다. 영희는 항상 화려한 차림으로 다닌다. 마을 사람들은 영희가 낡고 해진 옷을 입고 다녀도 좋아한다. 영희를 생각해 보니, 며칠 전 새 옷을 사달라고 떼를 쓴 내가 대견했다.",0
"철수가 찬 공이 교문 근처의 수풀 쪽으로 굴러갔다. 승호는 숨을 헐떡이며 뛰어갔다. 그곳에서 승호는 어린 참새 한 마리가 걸음마 배우는 아기처럼 콩콩거리며 제자리에서 맴돌고 있는 것을 보았다. “얘들아, 여기에 아기 참새가 있어.” 아이들이 우르르 몰려왔다. “너무 어려서 아직 날지 못하는 것 같아. 어떻게 할까?” “우리가 교실에서 기르자.” 아이들은 조심스럽게 아기 참새를 교실로 데리고 왔다. 선생님께서는 아기 참새가 제 힘으로 날 수 있을 때까지 기르도록 허락해 주셨다. 승호는 상자를 가져오고, 정아는 풀을 뜯어 와 상자에 깔아서 아기 참새의 보금자리를 꾸몄다. 철수는 물과 잘게 부순 과자를 주었다. 아이들은 숨을 죽이며 아기 참새를 바라보았다. 그러나 아기 참새는 힘없이 콩콩콩 주위를 맴돌 뿐 먹이를 먹지 않았다. “얘, 짹짹콩콩아. 그렇게 콩콩거리지만 말고 어서 먹으라니까.” 정아가 안타까운 목소리로 말하였다. “짹짹콩콩이? 그 이름 참 좋다. 이제부터 넌 짹짹콩콩이야!” 아이들이 좋아하며 손뼉을 치자, 짹짹콩콩이는 몸을 움츠렸다. 마침 5교시를 알리는 종소리가 들렸다. 하지만 아이들은 책상으로 돌아가려고 하지 않았다. 공부 시간에도 아이들은 아기 참새가 들어 있는 상자 쪽으로 눈길을 돌리고는 했다. 승호는 집에 돌아가서도 아기 참새 생각뿐이었다. ‘짹짹콩콩이가 아무것도 먹지 않고 있으면 어쩌지? 교실에 쥐라도 들어오면…….’ 여러 생각이 떠오르자 승호는 교실로 뛰어갔다. 교실 문을 열자 정아가 짹짹콩콩이를 들여다보고 있었다. “너도 짹짹콩콩이가 걱정이 되어서 왔니?” 정아 손에는 먹이가 들려 있었다. 그때였다. 교실 문이 열리며 작은 담요를 든 철수가 급히 뛰어 들어왔다. “짹짹콩콩이가 추울까 봐…….” 아이들은 마주 보며 씨익 웃었다.",0
"우리나라 고인돌은 동북아시아 고인돌 문화를 대표한다. 그중에서도 제주도 고인돌은 초기 철기 시대의 고인돌보다 발전된 형태로서 우리나라의 다른 지역에서는 찾아볼 수 없는 형식이다. 그래서 전 세계가 그 문화적 가치에 주목하고 있다.
제주도 고인돌은 대부분 단독으로 자리한다. 비록 고인돌이 모여 있다고 할지라도 수십에서 수백 미터의 일정한 간격을 유지하고 있다. 전남 지방의 고인돌이 약 330제곱미터 안에 모두 모여 있는 모습과는 매우 대조적이다.
제주도 고인돌은 만드는 방식도 여간 독특하다. 바닥에 네 개의 기둥 돌을 놓고 그 위에 덮개돌을 얹어 만들었다. 그리고 덮개돌 윗면에는 여러 개의 홈을 파 놓았다. 이 홈은 다산과 풍요를 상징한다.
현재 제주도에 남아 있는 고인돌의 수는 120여 기이다. 제주도의 고인돌이 우리나라에서 가장 늦게까지 만들어졌음을 고려하면 남아 있는 수가 그리 많지 않은 편이다. 그 까닭은 제주도 고인돌의 재료가 현무암이라서 다른 지역의 고인돌에 비해 깨지기 쉽고, 고인돌이 있던 지역에 촌락이 생겨 많이 훼손되었기 때문이다. 세계적 문화유산으로 가치를 인정받는 제주도 고인돌을 보존하려는 노력이 필요하다.",0
"나트륨은 식품에 들어 있는 소금의 주성분이다. 나트륨은 우리 몸에 필요한 영양소이지만 과다하게 섭취하면 생리적인 이상 현상을 일으킨다. 나트륨 섭취량을 줄여야 하는 이유와 그 방법을 알아보자.
우리나라 음식은 주로 소금으로 간을 하기 때문에 나트륨 섭취 가능성이 높다. 그렇다면 우리나라 청소년들은 얼마나 많은 양의 나트륨을 섭취하고 있을까? 우리나라 청소년들은 세계 보건 기구(WHO) 나트륨 섭취 권고량의 두 배 이상을 섭취하고 있다. 이렇게 과다하게 섭취하고 있는 나트륨을 줄여야 하는 이유는 무엇일까? 첫째, 나트륨을 많이 섭취하면 혈압이 높아질 수 있다. 나트륨이 혈관 속 혈액의 양을 증가시키기 때문이다. 둘째, 짠 음식을 먹어 나트륨이 몸속에 많아지면 몸이 붓는다. 나트륨이 든 짠 음식을 많이 먹으면 물을 많이 먹기 때문이다. 셋째, 지속해서 많은 양의 나트륨을 섭취하면 위장병을 일으킬 수 있다. 많이 섭취한 나트륨이 위벽을 자극하기 때문이다.
",0
"동요는 아이들의 정서를 담은 노래이다. 동요는 아름다운 가락과 노랫말을 사용하여 만들기 때문에 동요를 부르면 마음이 맑아지고 편안해진다. 그런데 요즘 아이들은 동요를 즐겨 부르지 않는 것 같다. 이를 지난달 ○○ 초등학교에서 열린 음악 축제에서도 확인할 수 있다.
이 축제에서 동요를 부른 학생은 열 명 가운데 한 명이었다. 아이들이 동요를 즐겨 부르지 않는 이유를 알아보고 해결 방법을 찾아보자.
아이들이 동요를 즐겨 부르지 않는 이유는 무엇일까? 먼저, 아이들이 동요를 접할 기회가 적다. 음악 시간 이외에는 동요를 부를 수 있는 시간이 별로 없다. 또한, 동요를 만드는 사람들이 요즘 아이들의 성향을 잘 반영하지 못하고 있다. 아이들은 빠른 리듬과 따라 부르기 쉬운 가락의 노래를 좋아한다. 끝으로, 아이들이 동요의 좋은 점을 잘 알지 못하고 있다. 아이 들은 동요 부르는 것을 수준이 낮고 시시한 것으로 생각한다. 아이들이 동요를 즐겨 부르게 하려면 어떻게 해야 할까? 첫째, 아이들에게 동요를 접할 기회를 많이 제공해야 한다. 학교에서는 등교 시간과 점심시간 등을 활용하여 동요를 들려주고, 동요 부르기 대회를 마련해야 한다. 둘째, 동요를 만드는 사람들은 아이들이 좋아하는 동요를 만들어야 한다. 아름다운 가락과 노랫말을 살리면서도 다양한 리듬을 동요에 반영해야 한다. 셋째, 동요의 중요성을 아이들에게 알려 주어야 한다. ‘동요 바로 알기’와 같은 캠페인을 벌여 동요가 아이들에게 유익하고 재미있다는 사실을 알게 해야 한다.",0
"세계 각국은 씨앗에 대한 소유권을 얻기 위해 경쟁하고 있다. ‘2010 나고야 의정서*’에 따르면, 2012년부터 씨앗 소유권이 없는 나라가 씨앗을 이용할 때는 소유권을 가진 나라의 승인을 받고, 대가를 지불해야 한다. 이 때문에 각 나라에서는 씨앗 소유권을 확보하는 일이 중요하게 되었다.
우리나라는 씨앗 소유권에 대한 인식이 부족하여 경제적으로 많은 손실을 보고 있다. ‘수수 꽃다리’, ‘나리’, ‘구상나무’ 등의 씨앗은 우리도 모르는 사이에 해외로 빠져나갔다. 이 씨앗들은 품종이 개량되어 비싼 값에 역수입되고 있다. 또한 우리는 우수한 품종의 씨앗을 사 오는 데 매년 많은 돈을 지불하고 있다. 그동안 씨앗을 개량하려는 노력이 부족하였기 때문이다.
지금부터라도 우리는 씨앗에 대한 소유권을 확보하기 위해 노력해야 한다. 그러면 씨앗의 소유권을 확보하기 위하여 어떻게 해야 할까? 첫째, 씨앗의 중요성을 인식하고 씨앗 소유권에 대해 관심을 가져야 한다. 둘째, 씨앗을 체계적으로 연구하는 기관을 많이 만들어야 한다. 셋째, 씨앗에 대한 기초 자료를 조사하고 수집해야 한다. 넷째, 재래종 씨앗을 보전하고 확보해야 한다. 다섯째, 우리 씨앗이 해외로 빠져나가는 것을 막기 위해 관리를 강화해야 한다.
예로부터 우리 조상들은 아무리 배가 고파도 씨앗으로 쓸 것은 먹지 않고 남겨 두었다. 그만큼 우리 조상들은 씨앗을 소중하게 여겼다. 앞으로 우리는 씨앗에 대한 소유권을 확보하기 위해 더 많은 노력을 기울여야 한다.",0
"어느 고을에 가난한 양반 형제가 살았다. 형은 과거에 급제하여 집안을 일으키려고 과거 공부에만 몰두하였다. 그에 비해 동생은 돈을 번 후 과거를 보기로 마음먹었다.
‘이러다가 당장 굶어 죽겠는걸. 주막이라도 차려 먼저 돈을 벌어야겠어. 여기서는 양반 체면이 서지 않으니 아는 사람이 없는 먼 곳으로 가야겠군.’
동생은 새벽에 마을을 빠져나와 낯선 곳에서 주막을 시작하였다.
5년이 지난 어느 날, 형은 동생의 소식이 궁금하여 동생을 찾아 나섰다. 어느 마을에 이르러 주막을 하는 동생을 보게 되었다. 형은 바쁘게 일하는 동생을 한참 바라보다가 밥 한 그릇을 시켜 맛있게 먹었다.
“밥값은 두 푼입니다. 형제간이라도 계산은 하셔야지요.”
동생은 떨리는 목소리로 형에게 밥값을 내라고 하였다. “이런 몹쓸 녀석 같으니라고,옜다!”
화가 난 형은 엽전 두 푼을 내던지고 돌아섰다. 그 모습을 보며 동생은 혼자 중얼거렸다. “멀리서 찾아온 형님에게까지 밥값을 받다니……. 하지만 형님에게 돈을 받지 않았더라면 내 결심이 흔들렸을 게야.”
동생의 마음을 알 리 없는 형은 힘없이 주막을 떠났다.
“아무리 그렇기로서니 나한테까지 돈을 받다니…….”
형은 다정했던 어린 시절의 동생 모습을 떠올리며 한숨을 내쉬었다. 그 후로 또 5년의 세월이 흘렀다.
 그러던 어느 날 형의 초가에 갓을 쓰고 비단옷을 입은 동생이 말을 타고 찾아왔다.
“형님, 저는 십 년간 한 푼 두 푼 돈을 모았습니다. 그래서 천 석지기 땅과 기와집을 마련하였습니다. 이제 저와 함께 마음 놓고 공부를 하시지요. 제가 돈만 모으는 사람이라면 한낱 모리배*에 지나지 않을 것입니다.”
형제는 함께 살면서 공부하여 과거에 급제하였다.",0
"우리나라 초등학생의 체격은 커졌지만 체력은 갈수록 떨어지고 있다. 체격은 몸 전체의 모습으로 키, 몸무게, 가슴둘레 등으로 나타난다. 체력은 우리 몸이 낼 수 있는 힘으로 50미터 달리기, 오래달리기, 제자리멀리뛰기 등으로 측정한다. 일반적으로 체격이 좋아지면 체력도 좋아진다. 그러나 우리나라 학생은 오히려 체력이 떨어지고 있어 문제이다. 초등학생의 체력 저하 실태를 알아보고 그 원인과 해결 방법을 찾아보자. 2009년 학생들의 체격은 2000년에 비해 상당히 좋아졌다. 키는 9년 전보다 약 2센티미터 커졌고, 몸무게는 약 3킬로그램 늘었다. 반면에 학생들의 체력은 저하되었다. 오래달리기 기록은 2000년에 6분 22초였지만 2009년에는 6분 43초로 21초 느려졌다. 이는 학생들의 체격은 좋아졌지만 체력이 약화되었음을 보여 준다.
체력 저하 현상은 다음과 같은 문제에서 원인을 찾을 수 있다. 첫째, 학생들이 학습하는 시간이 많아지면서 운동 시간이 줄어들었다. 둘째, 학생들의 놀이 문화가 실외 놀이에서 컴퓨터 게임이나 텔레비전 시청과 같은 실내 놀이 중심으로 바뀌었다. 셋째, 학생들이 사용하는 운동장 면적이 감소하여 운동량이 줄어들었다. 넷째, 학생들이 가까운 거리도 차를 타고 이동하면서 걷는 시간이 줄어들었다.",0
"공공 물품 무인 대여제는 물품을 일정한 장소에 두어 필요한 사람들이 자율적으로 빌려 가고 반납하는 제도이다. 이 제도를 통해 사람들은 책, 우산, 자전거와 같은 물품을 필요할 때 손쉽게 빌려 쓸 수 있다. 그런데 우리 고장에서는 빌려 간 물품을 파손하거나 반납하지 않는 사람들이 많아 공공 물품 무인 대여제를 운영하는 데 어려움이 있다고 한다. 우리는 대여 물품을 소중히 다루고 제때 반납해야 한다. 공공 물품을 소중히 다루고 제때 반납해야 하는 까닭과 이 제도를 성공적으로 운영하는 다른 고장의 사례를 알아보자. 먼저, 공공 대여 물품을 소중히 다루고 제때 반납해야 하는 까닭은 다음과 같다. 첫째, 빌려 간 사람들이 공공 물품을 제때 반납해야 더 많은 사람이 필요할 때 이용할 수 있다. 빌려 간 우산을 돌려주지 않고 계속 갖고 있다면 필요한 사람들이 이용할 수 없다. 둘째, 빌려 간 사람들이 공공 물품을 소중히 다루어야 많은 사람들이 공공 물품을 좀 더 싸게 살 수 있다. 많은 사람들이 함께 물품을 사면 저렴한 가격으로 구입할 수 있다. 셋째, 빌려 간 사람들이 빌린 물품을 정해진 장소에 반납해야 더 많은 사람들이 쉽게 찾아 이용할 수 있다. 아무 곳에나 두고 가 버리면 다른 사람이 사용할 때 찾기 어렵다. 넷째, 빌려 간 사람들이 공공 물품을 소중히 다루고 제때 반납해야 공공 물품 관리 비용을 절약할 수 있다. 고장 나거나 분실된 물품이 늘어나면 관리 비용이 더 들어간다. 다섯째, 빌려 간 사람들이 공공 물품을 소중히 다루고 제때 반납해야 공공 물품 무인 대여 제가 원활하게 운영될 수 있다. 그러면 관리하는 사람이 없어도 운영이 잘 될 수 있다.",0
호기심은 작은 것에서 시작되지만 미래를 바꿀 수 있는 놀라운 힘이 있다. 지금 우리가 누리고 있는 풍요로운 삶은 호기심을 가지고 세상을 탐구한 원인이다. 그러니 작은 일에도 호기심을 갖자. 궁금한 점을 하나하나 감추면 행복한 삶을 열어 갈 수 있을 것이다.,0
"아프지 않은 주사기를 상상해 본 적이 있는가? 나노 기술을 이용하면 우리가 상상만 해 왔던 일들이 실제로 이루어질 가능성이 높다. ‘나노’는 10억분의 1을 가리키는 말로, 1나노미터 는 머리카락 굵기의 10만분의 1 정도이다. 나노 물질은 크기가 매우 작아서 인간의 눈으로는 볼 수 없고, 전자 현미경을 이용해야만 관찰이 가능하다.
나노 기술은 두 가지 종류로 나눌 수 있다. 큰 것을 작게 만드는 기술과 물질의 알갱이를 새롭게 배열하여 새로운 물질을 만드는 기술이다. 큰 것을 작게 만드는 기술은 교실만 한 컴퓨터를 손바닥 크기로 작고 가볍게 만드는 데 이용된다. 물질의 알갱이를 새롭게 배열하여 새로운 물질을 만드는 기술은 철보다 강하면서도 가벼운 특성을 가진 소재를 개발하는 데 이용된다.
나노 기술은 정보 통신, 의학, 산업 등 다양한 분야에 응용할 수 있는 기술로 주목받고 있다. 정보 통신 분야에서는 우주에서도 통화가 가능한 휴대 전화, 각자 자기 나라말로 외국인과 자유롭게 대화할 수 있는 실시간 동시통역기 등을 개발 중이다. 의학 분야에서는 공기는 통하고 바이러스는 걸러 주는 투명 마스크, 몸속 구석구석을 관찰, 진단, 수술하는 의료용 로봇 등이 개발되고 있다. 산업 분야에서는 멀리서도 리모컨 하나로 색을 바꿀 수 있는 자동차, 빛을 받으면 스스로 표면을 깨끗하게 하는 청소용품에 대한 연구가 진행되고 있다.
앞으로 나노 기술은 우리 생활의 다양한 분야에 이용될 것이다. 그리고 이 기술은 미래 산업 전반과 과학 기술 발전에 크게 기여할 것으로 기대된다.",0
사람이 혼자서 큰일을 하기는 힘들다. 때로 자기 능력만 믿고 혼자 그 일을 다 하려다 지레 겁을 먹고 포기하기도 한다. 그러나 여럿이 모여서 꾸준히 힘을 합하면 힘든 일 도 쉽게 할 수 있다. 함께하는 지혜를 발휘하여 밝고 아름다운 사회를 이루도록 노력하자.,0
"한옥은 지방마다 구조가 조금씩 달랐습니다. 따뜻한 남부 지방에서는 바람이 잘 통하도록 넓은 마루를 두고 방을 한 줄로 배열하였습니다. 마루는 방들을 ㉠연결하는 통로로 사용되었고, 무더운 여름날에는 시원한 마루에서 주로 생활하였습니다. 추운 북부 지방에서는 집을 낮게 지으면서 방을 두 줄이나 사각형으로 배열하여 집 안의 열기가 밖으로 빠져나가지 않도록 하였습니다.",0
"보름 전쯤 돌아다니다가 동고비를 보았다. 딱따구리가 밤나무에 파 놓은 구멍 속에 동고비가 조용히 둥지를 틀고 있었다. 동고비같이 작은 새들은 딱따구리가 판 구멍에 둥지를 만들고, 날다람쥐나 들쥐는 그 구멍 속에 들어가 잠을 자기도 한다.",0
"백일홍은 심어 기르는 한해살이풀이에요. 꽃이 백 일 동안 핀다고 백일홍이라는 이름이 붙었지요. 원산지는 멕시코인데, 1757년에 독일 식물학자가 개량하여 여러 나라에서 심어 기르게 되었대요. 우리나라에서 심어 기른 지는 200년쯤 된다고 해요.
백일홍은 줄기가 곧고, 높이는 1미터쯤 되어요. 잎은 잎자루가 없이 마주나지요. ㉣잎은 끝이 뾰족하고 기다란 달걀 모양인데, 밑부분이 줄기를 감싸고 있어요.",0
"새는 하늘을 날기에 알맞은 몸을 가지고 있다. 새는 매우 단단하면서도 가벼운 뼈와 공기주머니를 가지고 있어서 몸을 띄우기가 쉽다. 그리고 새의 날개는 앞쪽이 두껍고 뒤쪽이 차차 얇아지는 형태로 되어 있어 몸을 띄우는 힘인 ‘양력’을 쉽게 만들어 낼 수 있다. 또, 새는 가슴 근육부터 날개 뼈까지 이어져 있는 힘센 근육을 지니고 있어 강한 날갯짓을 할 수 있다.",0
아침에 우산을 버스에 두고 내렸다. 우산을 두고 내린 것을 알고 눈물이 날 것 같았다. 그 우산은 내 단짝 친구가 준 선물이기에 무척 아꼈던 것이었다. 기분이 좋지 않아서 밥도 먹기가 싫었다. 잃어버린 우산이 자꾸 떠올랐다.,0
"식초는 동서양을 막론하고 오래전부터 이어 온 발효 식품으로, 조미료 및 방부제로 사용되고 있다. 식초는 곡물이나 과일에 누룩이라는 곰팡이를 번식시켜 만든다. 곡물과 과일에 있는 효모가 자라 알코올을 만들고, 이 알코올에서 식초 균이 자라면서 식초가 되는 것이다. 식초를 만들기 위해서는 오랜 숙성 기간이 필요하다.",0
"어느 날, 알라딘이 친구들과 시장에서 놀고 있을 때였습니다. 알라딘에게 한 낯선 사람이 다가왔습니다. 그는 알라딘을 덥석 끌어안으며 말하였습니다.
“네가 알라딘이지? 나는 네 삼촌이란다. 못 본 사이에 많이 컸구나.”
알라딘은 자신에게 삼촌이 있다는 말을 들어 본 적이 없었기 때문에 어리둥절하였습니다. 삼촌은 알라딘에게 더 멋진 곳을 구경시켜 주겠다며 이튿날 다시 만나자고 하였습니다.",0
"우리나라의 남극 탐험은 1978년 크릴새우를 시험 삼아 잡으면서 시작되었지만, 본격적인 탐험은 1985년에 시작되었다. 이듬해인 1986년에 우리나라는 세계에서 서른세 번째로 남극 조약에 가입하였다.",0
